"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"US National",2016-11-05,4,2016-12-03,0.897805583082162,0.01,"ili perc","quantile"
"US National",2016-11-05,4,2016-12-03,0.960471250128016,0.025,"ili perc","quantile"
"US National",2016-11-05,4,2016-12-03,1.01456004786478,0.05,"ili perc","quantile"
"US National",2016-11-05,4,2016-12-03,1.40428663734861,0.1,"ili perc","quantile"
"US National",2016-11-05,4,2016-12-03,1.4594945459936,0.15,"ili perc","quantile"
"US National",2016-11-05,4,2016-12-03,1.54412813463646,0.2,"ili perc","quantile"
"US National",2016-11-05,4,2016-12-03,1.58452250101994,0.25,"ili perc","quantile"
"US National",2016-11-05,4,2016-12-03,1.67084208930741,0.3,"ili perc","quantile"
"US National",2016-11-05,4,2016-12-03,1.71951869246681,0.35,"ili perc","quantile"
"US National",2016-11-05,4,2016-12-03,1.76716653059768,0.4,"ili perc","quantile"
"US National",2016-11-05,4,2016-12-03,1.82377170501078,0.45,"ili perc","quantile"
"US National",2016-11-05,4,2016-12-03,1.90576118920405,0.5,"ili perc","quantile"
"US National",2016-11-05,4,2016-12-03,1.94837734304117,0.55,"ili perc","quantile"
"US National",2016-11-05,4,2016-12-03,2.04648326313441,0.6,"ili perc","quantile"
"US National",2016-11-05,4,2016-12-03,2.1195923426272,0.65,"ili perc","quantile"
"US National",2016-11-05,4,2016-12-03,2.18047300404287,0.7,"ili perc","quantile"
"US National",2016-11-05,4,2016-12-03,2.24421550066231,0.75,"ili perc","quantile"
"US National",2016-11-05,4,2016-12-03,2.36220840289754,0.8,"ili perc","quantile"
"US National",2016-11-05,4,2016-12-03,2.43513727576702,0.85,"ili perc","quantile"
"US National",2016-11-05,4,2016-12-03,2.62490189548141,0.9,"ili perc","quantile"
"US National",2016-11-05,4,2016-12-03,2.87088212080616,0.95,"ili perc","quantile"
"US National",2016-11-05,4,2016-12-03,3.3172968662875,0.975,"ili perc","quantile"
"US National",2016-11-05,4,2016-12-03,3.49125966301258,0.99,"ili perc","quantile"
