"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"US National",2017-02-04,4,2017-03-04,2.02743922105411,0.01,"ili perc","quantile"
"US National",2017-02-04,4,2017-03-04,2.55664705683613,0.025,"ili perc","quantile"
"US National",2017-02-04,4,2017-03-04,2.73310542615813,0.05,"ili perc","quantile"
"US National",2017-02-04,4,2017-03-04,3.12661218549565,0.1,"ili perc","quantile"
"US National",2017-02-04,4,2017-03-04,3.32386232149233,0.15,"ili perc","quantile"
"US National",2017-02-04,4,2017-03-04,3.46131321300239,0.2,"ili perc","quantile"
"US National",2017-02-04,4,2017-03-04,3.6322324314506,0.25,"ili perc","quantile"
"US National",2017-02-04,4,2017-03-04,3.68904580655938,0.3,"ili perc","quantile"
"US National",2017-02-04,4,2017-03-04,3.81624632396429,0.35,"ili perc","quantile"
"US National",2017-02-04,4,2017-03-04,3.89809806468652,0.4,"ili perc","quantile"
"US National",2017-02-04,4,2017-03-04,3.96275682702005,0.45,"ili perc","quantile"
"US National",2017-02-04,4,2017-03-04,4.05666964975484,0.5,"ili perc","quantile"
"US National",2017-02-04,4,2017-03-04,4.16203652097223,0.55,"ili perc","quantile"
"US National",2017-02-04,4,2017-03-04,4.36597737018068,0.6,"ili perc","quantile"
"US National",2017-02-04,4,2017-03-04,4.5788377025391,0.65,"ili perc","quantile"
"US National",2017-02-04,4,2017-03-04,4.7423388310639,0.7,"ili perc","quantile"
"US National",2017-02-04,4,2017-03-04,4.87151932373537,0.75,"ili perc","quantile"
"US National",2017-02-04,4,2017-03-04,4.92684491566409,0.8,"ili perc","quantile"
"US National",2017-02-04,4,2017-03-04,5.01553639007768,0.85,"ili perc","quantile"
"US National",2017-02-04,4,2017-03-04,5.51791936519441,0.9,"ili perc","quantile"
"US National",2017-02-04,4,2017-03-04,5.66972266737719,0.95,"ili perc","quantile"
"US National",2017-02-04,4,2017-03-04,6.87545619719526,0.975,"ili perc","quantile"
"US National",2017-02-04,4,2017-03-04,8.52285191949022,0.99,"ili perc","quantile"
