"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"US National",2017-03-04,4,2017-04-01,1.22815007825294,0.01,"ili perc","quantile"
"US National",2017-03-04,4,2017-04-01,1.29740291527002,0.025,"ili perc","quantile"
"US National",2017-03-04,4,2017-04-01,1.55349886777242,0.05,"ili perc","quantile"
"US National",2017-03-04,4,2017-04-01,1.72018518035231,0.1,"ili perc","quantile"
"US National",2017-03-04,4,2017-04-01,1.8600527613322,0.15,"ili perc","quantile"
"US National",2017-03-04,4,2017-04-01,1.91734860801266,0.2,"ili perc","quantile"
"US National",2017-03-04,4,2017-04-01,1.94537598082139,0.25,"ili perc","quantile"
"US National",2017-03-04,4,2017-04-01,2.00287321534316,0.3,"ili perc","quantile"
"US National",2017-03-04,4,2017-04-01,2.10146364065558,0.35,"ili perc","quantile"
"US National",2017-03-04,4,2017-04-01,2.17269031820376,0.4,"ili perc","quantile"
"US National",2017-03-04,4,2017-04-01,2.29938463783125,0.45,"ili perc","quantile"
"US National",2017-03-04,4,2017-04-01,2.32837428669406,0.5,"ili perc","quantile"
"US National",2017-03-04,4,2017-04-01,2.38174861020606,0.55,"ili perc","quantile"
"US National",2017-03-04,4,2017-04-01,2.43975505740373,0.6,"ili perc","quantile"
"US National",2017-03-04,4,2017-04-01,2.53356211622684,0.65,"ili perc","quantile"
"US National",2017-03-04,4,2017-04-01,2.59693745319882,0.7,"ili perc","quantile"
"US National",2017-03-04,4,2017-04-01,2.87176207029058,0.75,"ili perc","quantile"
"US National",2017-03-04,4,2017-04-01,2.97754210550222,0.8,"ili perc","quantile"
"US National",2017-03-04,4,2017-04-01,3.17294895968201,0.85,"ili perc","quantile"
"US National",2017-03-04,4,2017-04-01,3.31987937929441,0.9,"ili perc","quantile"
"US National",2017-03-04,4,2017-04-01,3.80851286781266,0.95,"ili perc","quantile"
"US National",2017-03-04,4,2017-04-01,4.36445082693474,0.975,"ili perc","quantile"
"US National",2017-03-04,4,2017-04-01,4.68438837922026,0.99,"ili perc","quantile"
