"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"US National",2016-10-29,4,2016-11-26,0.923857979456505,0.01,"ili perc","quantile"
"US National",2016-10-29,4,2016-11-26,0.987051562133684,0.025,"ili perc","quantile"
"US National",2016-10-29,4,2016-11-26,1.11828264311387,0.05,"ili perc","quantile"
"US National",2016-10-29,4,2016-11-26,1.20973216225065,0.1,"ili perc","quantile"
"US National",2016-10-29,4,2016-11-26,1.29458953716638,0.15,"ili perc","quantile"
"US National",2016-10-29,4,2016-11-26,1.32174156124424,0.2,"ili perc","quantile"
"US National",2016-10-29,4,2016-11-26,1.38756171415768,0.25,"ili perc","quantile"
"US National",2016-10-29,4,2016-11-26,1.42614712378507,0.3,"ili perc","quantile"
"US National",2016-10-29,4,2016-11-26,1.47635338243935,0.35,"ili perc","quantile"
"US National",2016-10-29,4,2016-11-26,1.54259876534563,0.4,"ili perc","quantile"
"US National",2016-10-29,4,2016-11-26,1.58224655372724,0.45,"ili perc","quantile"
"US National",2016-10-29,4,2016-11-26,1.66932285226084,0.5,"ili perc","quantile"
"US National",2016-10-29,4,2016-11-26,1.709777014735,0.55,"ili perc","quantile"
"US National",2016-10-29,4,2016-11-26,1.78787756294198,0.6,"ili perc","quantile"
"US National",2016-10-29,4,2016-11-26,1.88557668461109,0.65,"ili perc","quantile"
"US National",2016-10-29,4,2016-11-26,1.9063485688723,0.7,"ili perc","quantile"
"US National",2016-10-29,4,2016-11-26,1.96326895587077,0.75,"ili perc","quantile"
"US National",2016-10-29,4,2016-11-26,2.02589017780498,0.8,"ili perc","quantile"
"US National",2016-10-29,4,2016-11-26,2.15443611450796,0.85,"ili perc","quantile"
"US National",2016-10-29,4,2016-11-26,2.34274658662024,0.9,"ili perc","quantile"
"US National",2016-10-29,4,2016-11-26,2.71769465824007,0.95,"ili perc","quantile"
"US National",2016-10-29,4,2016-11-26,3.02092862372925,0.975,"ili perc","quantile"
"US National",2016-10-29,4,2016-11-26,3.06948278920475,0.99,"ili perc","quantile"
