"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"US National",2017-04-15,4,2017-05-13,0.596457906246606,0.01,"ili perc","quantile"
"US National",2017-04-15,4,2017-05-13,0.648604976646728,0.025,"ili perc","quantile"
"US National",2017-04-15,4,2017-05-13,0.746860294602192,0.05,"ili perc","quantile"
"US National",2017-04-15,4,2017-05-13,0.997944831131805,0.1,"ili perc","quantile"
"US National",2017-04-15,4,2017-05-13,1.04842350681907,0.15,"ili perc","quantile"
"US National",2017-04-15,4,2017-05-13,1.10071456557566,0.2,"ili perc","quantile"
"US National",2017-04-15,4,2017-05-13,1.20152650871993,0.25,"ili perc","quantile"
"US National",2017-04-15,4,2017-05-13,1.2423053929091,0.3,"ili perc","quantile"
"US National",2017-04-15,4,2017-05-13,1.2613152299325,0.35,"ili perc","quantile"
"US National",2017-04-15,4,2017-05-13,1.28722074950306,0.4,"ili perc","quantile"
"US National",2017-04-15,4,2017-05-13,1.32321431067516,0.45,"ili perc","quantile"
"US National",2017-04-15,4,2017-05-13,1.37943040629993,0.5,"ili perc","quantile"
"US National",2017-04-15,4,2017-05-13,1.4207621380729,0.55,"ili perc","quantile"
"US National",2017-04-15,4,2017-05-13,1.50530798423954,0.6,"ili perc","quantile"
"US National",2017-04-15,4,2017-05-13,1.55140106572994,0.65,"ili perc","quantile"
"US National",2017-04-15,4,2017-05-13,1.6251554130702,0.7,"ili perc","quantile"
"US National",2017-04-15,4,2017-05-13,1.76844017042284,0.75,"ili perc","quantile"
"US National",2017-04-15,4,2017-05-13,1.82380170621773,0.8,"ili perc","quantile"
"US National",2017-04-15,4,2017-05-13,1.91515610534455,0.85,"ili perc","quantile"
"US National",2017-04-15,4,2017-05-13,2.05915665102474,0.9,"ili perc","quantile"
"US National",2017-04-15,4,2017-05-13,2.15505464743119,0.95,"ili perc","quantile"
"US National",2017-04-15,4,2017-05-13,2.59840446910011,0.975,"ili perc","quantile"
"US National",2017-04-15,4,2017-05-13,3.17882971232825,0.99,"ili perc","quantile"
