"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"US National",2017-01-14,4,2017-02-11,1.18698787098938,0.01,"ili perc","quantile"
"US National",2017-01-14,4,2017-02-11,1.43303224251532,0.025,"ili perc","quantile"
"US National",2017-01-14,4,2017-02-11,1.7227640329115,0.05,"ili perc","quantile"
"US National",2017-01-14,4,2017-02-11,1.96404093817162,0.1,"ili perc","quantile"
"US National",2017-01-14,4,2017-02-11,2.24142437847197,0.15,"ili perc","quantile"
"US National",2017-01-14,4,2017-02-11,2.473433550768,0.2,"ili perc","quantile"
"US National",2017-01-14,4,2017-02-11,2.55013935991195,0.25,"ili perc","quantile"
"US National",2017-01-14,4,2017-02-11,2.61803398670739,0.3,"ili perc","quantile"
"US National",2017-01-14,4,2017-02-11,2.73414156096785,0.35,"ili perc","quantile"
"US National",2017-01-14,4,2017-02-11,2.82888378725723,0.4,"ili perc","quantile"
"US National",2017-01-14,4,2017-02-11,2.92119625455881,0.45,"ili perc","quantile"
"US National",2017-01-14,4,2017-02-11,2.98283215201618,0.5,"ili perc","quantile"
"US National",2017-01-14,4,2017-02-11,3.03846609705274,0.55,"ili perc","quantile"
"US National",2017-01-14,4,2017-02-11,3.09094522376295,0.6,"ili perc","quantile"
"US National",2017-01-14,4,2017-02-11,3.24135945426957,0.65,"ili perc","quantile"
"US National",2017-01-14,4,2017-02-11,3.34307891575333,0.7,"ili perc","quantile"
"US National",2017-01-14,4,2017-02-11,3.56940252971657,0.75,"ili perc","quantile"
"US National",2017-01-14,4,2017-02-11,3.67364630525219,0.8,"ili perc","quantile"
"US National",2017-01-14,4,2017-02-11,4.11971084213411,0.85,"ili perc","quantile"
"US National",2017-01-14,4,2017-02-11,4.30646050240084,0.9,"ili perc","quantile"
"US National",2017-01-14,4,2017-02-11,4.84815258986856,0.95,"ili perc","quantile"
"US National",2017-01-14,4,2017-02-11,5.35445558253769,0.975,"ili perc","quantile"
"US National",2017-01-14,4,2017-02-11,6.4782310390501,0.99,"ili perc","quantile"
